,Song Title,Artist
0,Cruel Summer,Taylor Swift
1,Lovin On Me,Jack Harlow
2,Paint The Town Red,Doja Cat
3,Snooze,SZA
4,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
6,Fast Car,Luke Combs
7,Greedy,Tate McRae
8,Last Night,Morgan Wallen
9,Thinkin' Bout Me,Morgan Wallen
10,Houdini,Dua Lipa
11,White Horse,Chris Stapleton
12,Need A Favor,Jelly Roll
13,Agora Hills,Doja Cat
14,Water,Tyla
15,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
16,All I Want For Christmas Is You,Mariah Carey
17,Fukumean,Gunna
18,Save Me,Jelly Roll With Lainey Wilson
19,Dance The Night,Dua Lipa
20,Vampire,Olivia Rodrigo
21,Used To Be Young,Miley Cyrus
22,Lil Boo Thang,Paul Russell
23,Monaco,Bad Bunny
24,First Person Shooter,Drake Featuring J. Cole
25,IDGAF,Drake Featuring Yeat
26,What Was I Made For?,Billie Eilish
27,Good Good,"Usher, Summer Walker & 21 Savage"
28,Flowers,Miley Cyrus
29,My Love Mine All Mine,Mitski
30,Stick Season,Noah Kahan
31,Last Christmas,Wham!
32,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
33,Dial Drunk,Noah Kahan With Post Malone
34,What It Is (Block Boy),Doechii Featuring Kodak Black
35,Kill Bill,SZA
36,Northern Attitude,Noah Kahan With Hozier
37,Jingle Bell Rock,Bobby Helms
38,Lose Control,Teddy Swims
39,Harley Quinn,Fuerza Regida & Marshmello
40,Daylight,David Kushner
41,I Know ?,Travis Scott
42,Wild Ones,Jessie Murph & Jelly Roll
43,A Holly Jolly Christmas,Burl Ives
44,Barbie World,Nicki Minaj & Ice Spice With Aqua
45,Pretty Little Poison,Warren Zeiders
46,World On Fire,Nate Smith
47,On My Mama,Victoria Monet
48,Slut! (Taylor's Version) [From The Vault],Taylor Swift
49,Standing Next To You,Jung Kook
50,500lbs,Lil Tecca
51,Strangers,Kenya Grace
52,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift
53,Bad Idea Right?,Olivia Rodrigo
54,Great Gatsby,Rod Wave
55,Get Him Back!,Olivia Rodrigo
56,Can't Have Mine,Dylan Scott
57,Virginia Beach,Drake
58,Everything I Love,Morgan Wallen
59,Standing Room Only,Tim McGraw
60,Try That In A Small Town,Jason Aldean
61,The Painter,Cody Johnson
62,Cobra,Megan Thee Stallion
63,Truck Bed,HARDY
64,Qlona,Karol G & Peso Pluma
65,Too Much,"The Kid LAROI, Jung Kook & Central Cee"
66,Perro Negro,Bad Bunny & Feid
67,Hey Driver,Zach Bryan Featuring The War And Treaty
68,Style (Taylor's Version),Taylor Swift
69,Rich Men North Of Richmond,Oliver Anthony Music
70,Meltdown,Travis Scott Featuring Drake
71,Bongos,Cardi B & Megan Thee Stallion
72,Slime You Out,Drake Featuring SZA
73,Segun Quien,Maluma & Carin Leon
74,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
75,Now And Then,The Beatles
76,Single Soon,Selena Gomez
77,Burn It Down,Parker McCollum
78,LaLa,Myke Towers
79,Bad Blood (Taylor's Version),Taylor Swift
80,Can't Catch Me Now,Olivia Rodrigo
81,Turks & Caicos,Rod Wave Featuring 21 Savage
82,SkeeYee,Sexyy Red
83,3D,Jung Kook & Jack Harlow
84,Out Of The Woods (Taylor's Version),Taylor Swift
85,Wildest Dreams (Taylor's Version),Taylor Swift
86,El Amor de Su Vida,Grupo Frontera & Grupo Firme
87,Save Me The Trouble,Dan + Shay
88,Stars Like Confetti,Dustin Lynch
89,LALALALA,Stray Kids
90,Seven,Jung Kook Featuring Latto
91,Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift
92,Blank Space (Taylor's Version),Taylor Swift
93,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
94,Smurk Carter,Lil Durk
95,Mi Ex Tenia Razon,Karol G
96,Different 'Round Here,Riley Green Featuring Luke Combs
97,But I Got A Beer In My Hand,Luke Bryan
98,Better Than Ever,YoungBoy Never Broke Again & Rod Wave
99,Soak City (Do It),310babii
2,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
5,Save Me (with Lainey Wilson),Jelly Roll
8,90s Rap Mashup,Austin Williams
9,Thinkin’ Bout Me,Morgan Wallen
11,Standing Next to You,Jung Kook
12,Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra
13,All I Want for Christmas Is You,Mariah Carey
19,Rockin' Around the Christmas Tree (Single),Brenda Lee
20,greedy,Tate McRae
22,Sin So Sweet,Warren Zeiders
24,Standing Next to You (Band Version),Jung Kook
25,Where the Wild Things Are,Luke Combs
26,Standing Next to You (Future Funk Remix),Jung Kook
27,Lover,Taylor Swift
28,Standing Next to You (PBR&B Remix),Jung Kook
29,Standing Next to You (Holiday Remix),Jung Kook
30,Standing Next to You (Slow Jam Remix),Jung Kook
31,Standing Next to You (Latin Trap Remix),Jung Kook
33,Standing Next to You (Instrumental),Jung Kook
34,To Be A Man (feat. Darius Rucker),Dax
35,Rich Men North of Richmond,Oliver Anthony Music
36,Wild Ones (Extended Version),Jessie Murph & Jelly Roll
37,Don’t Blame Me,Taylor Swift
38,Karma,Taylor Swift
39,Unstoppable,Sia
40,Wrap Me Up,Jimmy Fallon & Meghan Trainor
41,Oral,Björk & ROSALÍA
